name,rating,rank,rating_o,rating_d,rank_o,rank_d,season_week,ranking_id,season,week
Atlanta Falcons,0.6078162318215482,14,2.1011847434631403,-1.493368511641592,9,18,1971.003,20,1971,2.9999999999290594
Baltimore Colts,6.460536978490926,6,1.3991603987970431,5.061376579693883,11,3,1971.003,20,1971,2.9999999999290594
Buffalo Bills,-10.267450451349532,24,-1.9917115825472875,-8.275738868802245,18,26,1971.003,20,1971,2.9999999999290594
Chicago Bears,4.001758113761929,8,0.6840778999208676,3.317680213841061,13,6,1971.003,20,1971,2.9999999999290594
Cincinnati Bengals,1.9398773005970829,11,0.693261705257358,1.2466155953397249,12,14,1971.003,20,1971,2.9999999999290594
Cleveland Browns,1.0504208620874085,13,-0.7271960631993949,1.7776169252868033,16,12,1971.003,20,1971,2.9999999999290594
Dallas Cowboys,9.790015810363474,3,4.659125052950014,5.130890757413461,3,2,1971.003,20,1971,2.9999999999290594
Denver Broncos,-8.03030355854783,21,-5.934538873407448,-2.095764685140382,25,19,1971.003,20,1971,2.9999999999290594
Detroit Lions,10.219457704321105,2,5.8602126701845325,4.359245034136572,1,5,1971.003,20,1971,2.9999999999290594
Green Bay Packers,0.2823044766228386,16,1.5164214578368644,-1.2341169812140258,10,17,1971.003,20,1971,2.9999999999290594
Houston Oilers,-12.515015316209883,25,-4.491069892857999,-8.023945423351885,24,25,1971.003,20,1971,2.9999999999290594
Kansas City Chiefs,-1.475834200839376,18,-3.69926617450684,2.2234319736674624,23,9,1971.003,20,1971,2.9999999999290594
Los Angeles Rams,7.043079976268102,5,2.2875517780510006,4.755528198217101,8,4,1971.003,20,1971,2.9999999999290594
Miami Dolphins,1.446030334577735,12,-0.5936032261945455,2.0396335607722804,15,10,1971.003,20,1971,2.9999999999290594
Minnesota Vikings,10.828625801852636,1,2.3527870444687844,8.475838757383853,7,1,1971.003,20,1971,2.9999999999290594
New England Patriots,-13.914804943464768,26,-7.8257603927460995,-6.089044550718668,26,23,1971.003,20,1971,2.9999999999290594
New Orleans Saints,-8.418125481302054,22,-2.7382591038388324,-5.679866377463222,20,22,1971.003,20,1971,2.9999999999290594
New York Giants,0.3736264573774253,15,3.4967325237288875,-3.123106066351462,5,20,1971.003,20,1971,2.9999999999290594
New York Jets,-1.401277509115184,17,-2.9850612012732216,1.5837836921580375,21,13,1971.003,20,1971,2.9999999999290594
Oakland Raiders,2.323383418912877,10,2.560627660643368,-0.2372442417304905,6,15,1971.003,20,1971,2.9999999999290594
Philadelphia Eagles,-9.6187114256848,23,-3.132827185556388,-6.485884240128412,22,24,1971.003,20,1971,2.9999999999290594
Pittsburgh Steelers,-3.4246817108721714,19,-2.49606493485577,-0.928616776016401,19,16,1971.003,20,1971,2.9999999999290594
San Diego Chargers,-4.611296734325994,20,-1.4123693786134326,-3.198927355712561,17,21,1971.003,20,1971,2.9999999999290594
San Francisco 49ers,8.37596071769237,4,5.626884304058537,2.749076413633833,2,7,1971.003,20,1971,2.9999999999290594
St. Louis Cardinals,2.799116279632905,9,0.4717541532367856,2.32736212639612,14,8,1971.003,20,1971,2.9999999999290594
Washington Commanders,6.1354908673312165,7,4.317946608712147,1.817544258619069,4,11,1971.003,20,1971,2.9999999999290594
Atlanta Falcons,-1.644138971011799,17,1.0640075061607526,-2.7081464771725514,12,20,1971.004,21,1971,3.9999999999054126
Baltimore Colts,8.4414664844788,4,2.518104863982403,5.923361620496397,8,2,1971.004,21,1971,3.9999999999054126
Buffalo Bills,-11.666248802175362,26,-2.208162672842197,-9.458086129333164,19,26,1971.004,21,1971,3.9999999999054126
Chicago Bears,4.461690974476102,8,1.5087709749037008,2.9529199995724014,10,6,1971.004,21,1971,3.9999999999054126
Cincinnati Bengals,1.217424170294142,13,0.2133264353353917,1.00409773495875,14,14,1971.004,21,1971,3.9999999999054126
Cleveland Browns,1.7710506481434034,12,0.0906885593479281,1.680362088795475,16,11,1971.004,21,1971,3.9999999999054126
Dallas Cowboys,9.57392911519911,2,4.21460003112286,5.359329084076251,3,3,1971.004,21,1971,3.9999999999054126
Denver Broncos,-8.354515958399853,21,-5.987946527596916,-2.366569430802936,25,18,1971.004,21,1971,3.9999999999054126
Detroit Lions,9.049236580215425,3,6.353547522771949,2.6956890574434738,1,8,1971.004,21,1971,3.9999999999054126
Green Bay Packers,1.2054928385940349,14,2.9950203257741395,-1.7895274871801046,7,17,1971.004,21,1971,3.9999999999054126
Houston Oilers,-11.313105156898846,25,-4.551307917774551,-6.761797239124295,23,24,1971.004,21,1971,3.9999999999054126
Kansas City Chiefs,0.0841559413966835,16,-2.682554360403567,2.7667103018002512,21,7,1971.004,21,1971,3.9999999999054126
Los Angeles Rams,7.1738149228831976,5,1.845444011455451,5.328370911427747,9,4,1971.004,21,1971,3.9999999999054126
Miami Dolphins,2.5642486088459964,11,0.1137309593488187,2.450517649497177,15,9,1971.004,21,1971,3.9999999999054126
Minnesota Vikings,9.599677261472785,1,0.3277550895304522,9.27192217194233,13,1,1971.004,21,1971,3.9999999999054126
New England Patriots,-10.62085498561243,24,-6.814689429343817,-3.806165556268614,26,21,1971.004,21,1971,3.9999999999054126
New Orleans Saints,-9.36771491342661,22,-2.2954199249475384,-7.072294988479072,20,25,1971.004,21,1971,3.9999999999054126
New York Giants,1.0521469549103606,15,3.445877551111305,-2.3937305962009443,5,19,1971.004,21,1971,3.9999999999054126
New York Jets,-3.5328357522530767,18,-4.763771438454553,1.2309356862014758,24,13,1971.004,21,1971,3.9999999999054126
Oakland Raiders,2.955728083376583,10,3.007409712782773,-0.0516816294061903,6,15,1971.004,21,1971,3.9999999999054126
Philadelphia Eagles,-9.589909757523142,23,-4.197185005895175,-5.392724751627966,22,23,1971.004,21,1971,3.9999999999054126
Pittsburgh Steelers,-3.7500551090872687,19,-2.001741630002788,-1.7483134790844814,18,16,1971.004,21,1971,3.9999999999054126
San Diego Chargers,-5.838670491586367,20,-1.7776258466396897,-4.061044644946677,17,22,1971.004,21,1971,3.9999999999054126
San Francisco 49ers,6.85841013929706,6,4.649955350392155,2.208454788904905,2,10,1971.004,21,1971,3.9999999999054126
St. Louis Cardinals,4.373021222667124,9,1.199128326272093,3.173892896395031,11,5,1971.004,21,1971,3.9999999999054126
Washington Commanders,5.2965559517239695,7,3.7330375213546025,1.563518430369367,4,12,1971.004,21,1971,3.9999999999054126
Atlanta Falcons,-1.6017181992249652,16,1.5347026731985731,-3.136420872423538,11,18,1971.005,22,1971,5.000000000109139
Baltimore Colts,10.14019785077788,1,2.923425665514924,7.216772185262958,6,2,1971.005,22,1971,5.000000000109139
Buffalo Bills,-11.546153194483486,24,-1.8005197631851342,-9.745633431298351,20,26,1971.005,22,1971,5.000000000109139
Chicago Bears,4.601643433887125,9,-0.0514960220091174,4.653139455896242,15,4,1971.005,22,1971,5.000000000109139
Cincinnati Bengals,0.9321654215415252,14,0.5204987834733272,0.4116666380681979,14,15,1971.005,22,1971,5.000000000109139
Cleveland Browns,2.3546707378871043,11,1.0995603057635843,1.2551104321235198,12,13,1971.005,22,1971,5.000000000109139
Dallas Cowboys,7.123124913847256,6,2.997160407890417,4.125964505956839,4,6,1971.005,22,1971,5.000000000109139
Denver Broncos,-7.329308046017634,22,-5.731646977040843,-1.5976610689767905,25,16,1971.005,22,1971,5.000000000109139
Detroit Lions,9.245813656308115,3,6.104278698993902,3.141534957314215,1,8,1971.005,22,1971,5.000000000109139
Green Bay Packers,0.3229808984753855,15,2.955015581610102,-2.632034683134717,5,17,1971.005,22,1971,5.000000000109139
Houston Oilers,-11.698698550636731,25,-5.297825081580189,-6.400873469056542,24,25,1971.005,22,1971,5.000000000109139
Kansas City Chiefs,1.5896632802721669,12,-0.6570898873288205,2.246753167600988,17,11,1971.005,22,1971,5.000000000109139
Los Angeles Rams,8.067991288957504,5,2.5844463195121627,5.483544969445342,8,3,1971.005,22,1971,5.000000000109139
Miami Dolphins,5.24712885281086,8,1.860302285825857,3.3868265669850026,10,7,1971.005,22,1971,5.000000000109139
Minnesota Vikings,9.604852011551614,2,0.6763851615938401,8.928466849957774,13,1,1971.005,22,1971,5.000000000109139
New England Patriots,-12.192365851378714,26,-6.99390009523099,-5.198465756147724,26,22,1971.005,22,1971,5.000000000109139
New Orleans Saints,-6.137574123204622,21,-0.2766657048119176,-5.860908418392705,16,23,1971.005,22,1971,5.000000000109139
New York Giants,-2.143780922588332,17,2.0906596741498302,-4.234440596738162,9,21,1971.005,22,1971,5.000000000109139
New York Jets,-3.2504011677342306,18,-4.592686887395624,1.342285719661394,22,12,1971.005,22,1971,5.000000000109139
Oakland Raiders,4.358226186861585,10,3.682268160268536,0.6759580265930496,3,14,1971.005,22,1971,5.000000000109139
Philadelphia Eagles,-11.346586153651783,23,-4.994201724871493,-6.35238442878029,23,24,1971.005,22,1971,5.000000000109139
Pittsburgh Steelers,-5.360847466645422,19,-1.664685031252101,-3.696162435393321,19,20,1971.005,22,1971,5.000000000109139
San Diego Chargers,-5.867442366697989,20,-2.440179051466994,-3.427263315230995,21,19,1971.005,22,1971,5.000000000109139
San Francisco 49ers,8.193290045519591,4,3.980050607389996,4.213239438129595,2,5,1971.005,22,1971,5.000000000109139
St. Louis Cardinals,1.4209002515433462,13,-1.338877239122193,2.759777490665539,18,9,1971.005,22,1971,5.000000000109139
Washington Commanders,5.272227212022872,7,2.8310191408780963,2.441208071144776,7,10,1971.005,22,1971,5.000000000109139
Atlanta Falcons,0.5789740217405439,13,1.9496780942521703,-1.3707040725116268,9,18,1971.006,23,1971,6.0000000000854925
Baltimore Colts,9.015345800602152,4,1.6346008058650776,7.380744994737075,11,2,1971.006,23,1971,6.0000000000854925
Buffalo Bills,-12.949734966866446,26,-3.9168763349036473,-9.0328586319628,22,26,1971.006,23,1971,6.0000000000854925
Chicago Bears,6.354509147618907,7,1.9004400834115271,4.45406906420738,10,5,1971.006,23,1971,6.0000000000854925
Cincinnati Bengals,0.8077912141386349,12,1.507094064693184,-0.6993028505545493,12,17,1971.006,23,1971,6.0000000000854925
Cleveland Browns,-1.4905012169481378,16,-1.372898131263501,-0.1176030856846368,16,15,1971.006,23,1971,6.0000000000854925
Dallas Cowboys,6.450959314822708,6,4.280441290191051,2.170518024631656,4,8,1971.006,23,1971,6.0000000000854925
Denver Broncos,-2.930845174156968,17,-3.8765020126944174,0.9456568385374496,21,12,1971.006,23,1971,6.0000000000854925
Detroit Lions,8.185420324803067,5,6.111245890975313,2.074174433827754,1,9,1971.006,23,1971,6.0000000000854925
Green Bay Packers,-0.1445576226590109,14,2.8310148317074986,-2.9755724543665094,7,19,1971.006,23,1971,6.0000000000854925
Houston Oilers,-12.284471401932487,24,-5.968405070190644,-6.316066331741845,26,24,1971.006,23,1971,6.0000000000854925
Kansas City Chiefs,3.667516107549388,10,1.4862388768013777,2.1812772307480106,13,7,1971.006,23,1971,6.0000000000854925
Los Angeles Rams,9.44386821490797,3,3.5623642563494595,5.881503958558511,5,3,1971.006,23,1971,6.0000000000854925
Miami Dolphins,6.232245934547328,8,2.925404893483382,3.3068410410639464,6,6,1971.006,23,1971,6.0000000000854925
Minnesota Vikings,9.956314920144358,1,0.0019931770372245,9.954321743107132,14,1,1971.006,23,1971,6.0000000000854925
New England Patriots,-12.587859023180473,25,-5.674047327413426,-6.913811695767047,25,25,1971.006,23,1971,6.0000000000854925
New Orleans Saints,-6.791273580288708,22,-1.7867946254873872,-5.004478954801321,18,22,1971.006,23,1971,6.0000000000854925
New York Giants,-5.630583571922875,21,-0.5563674712595033,-5.074216100663371,15,23,1971.006,23,1971,6.0000000000854925
New York Jets,-4.710984152452572,19,-4.775757776738741,0.0647736242861689,23,13,1971.006,23,1971,6.0000000000854925
Oakland Raiders,4.820716946998841,9,4.76427501612873,0.0564419308701111,3,14,1971.006,23,1971,6.0000000000854925
Philadelphia Eagles,-9.575401285208873,23,-5.321443618372571,-4.2539576668363,24,21,1971.006,23,1971,6.0000000000854925
Pittsburgh Steelers,-5.442458100111729,20,-1.7198570205651325,-3.722601079546596,17,20,1971.006,23,1971,6.0000000000854925
San Diego Chargers,-3.769508112280079,18,-3.207605782772776,-0.5619023295073031,20,16,1971.006,23,1971,6.0000000000854925
San Francisco 49ers,9.628819791182387,2,4.982423310998883,4.646396480183506,2,4,1971.006,23,1971,6.0000000000854925
St. Louis Cardinals,-0.4394180549539737,15,-2.044176596571292,1.604758541617318,19,10,1971.006,23,1971,6.0000000000854925
Washington Commanders,3.605114523906044,11,2.283517173487402,1.3215973504186422,8,11,1971.006,23,1971,6.0000000000854925
